number,name,diameter (km),Period (h),a (AU),e,slow,a_mean
26,Proserpina,100.68,13.10923,2.6557,0.1198,False,2.6365737705730554
32,Pomona,86.6,9.44752,2.587,0.1122,False,2.570664762210359
33,Polyhymnia,55.52,18.60875,2.8661,0.2973,False,2.7365067576204263
41,Daphne,209.0,5.98807,2.7641,0.3047,False,2.632662557632403
43,Ariadne,72.09,5.76182,2.2034,0.1429,False,2.1807867961372245
44,Nysa,82.0,6.42138,2.4227,0.1734,False,2.3859996834763844
45,Eugenia,239.24,5.69918,2.7207,0.1128,False,2.703335712324053
48,Doris,238.79,11.88996,3.1124,0.0636,False,3.1060988548212936
50,Virginia,100.0,14.31074,2.6498,0.2445,False,2.5693766946574397
52,Europa,359.53,5.62987,3.0968,0.1188,False,3.0748690944051544
54,Alexandra,177.68,7.02336,2.7105,0.1889,False,2.6617010495206066
55,Pandora,86.81,4.80402,2.7597,0.1062,False,2.7440933150200233
59,Elpis,182.23,13.67436,2.7133,0.0729,False,2.7060806011846386
60,Echo,63.13,25.22988,2.3931,0.2021,False,2.3437181209899878
63,Ausonia,116.04,9.29758,2.3952,0.1206,False,2.377717875054218
67,Asia,66.69,15.85054,2.4209,0.1552,False,2.3915661241720367
72,Feronia,90.83,8.09067,2.2662,0.0737,False,2.260036971750966
73,Klytia,49.45,8.28308,2.6647,0.0407,False,2.6624920608122338
87,Sylvia,301.78,5.18353,3.4853,0.0539,False,3.48023355334411
95,Arethusa,152.45,8.70227,3.0689,0.1281,False,3.0436161202361434
107,Camilla,254.0,4.84393,3.486,0.0931,False,3.4708594763298097
116,Sirona,84.23,12.03201,2.7684,0.1751,False,2.725630030123314
129,Antigone,131.11,4.95718,2.8702,0.2249,False,2.796670786445255
130,Elektra,215.0,5.22463,3.118,0.1853,False,3.064002471043853
146,Lucina,160.31,18.55629,2.7187,0.092,False,2.7071700123013773
149,Medusa,24.45,26.04549,2.1747,0.0818,False,2.167412068398852
152,Atala,82.0,6.24471,3.1394,0.0774,False,3.129982177861562
154,Bertha,192.61,25.25111,3.1844,0.1321,False,3.156493174996997
157,Dejanira,24.48,15.82874,2.5798,0.216,False,2.5188995987783556
158,Koronis,47.69,14.2058,2.8688,0.0453,False,2.8658549704616787
159,Aemilia,141.59,24.47726,3.1042,0.1171,False,3.082843503465054
160,Una,86.1,11.03304,2.7277,0.0589,False,2.7229644071816397
164,Eva,120.74,13.66559,2.6329,0.2729,False,2.532961449468008
166,Rhodope,66.92,4.71478,2.6858,0.177,False,2.6433935046716828
174,Phaedra,74.4,5.75025,2.8601,0.1579,False,2.824220353934189
176,Iduna,131.13,11.28758,3.1793,0.1946,False,3.118520317612254
179,Klytaemnestra,90.17,11.17349,2.9723,0.0761,False,2.9636808963794468
182,Elsa,53.83,80.16821,2.4171,0.1758,False,2.379455851986039
183,Istria,39.07,11.76901,2.7929,0.2463,False,2.7068609145387925
187,Lamberta,147.29,10.66705,2.7307,0.2883,False,2.614754846450838
188,Menippe,44.63,11.97599,2.7618,0.1501,False,2.7305110702297855
193,Ambrosia,41.98,6.58177,2.6016,0.2762,False,2.5003982337071657
208,Lacrimosa,46.45,14.08567,2.8929,0.045,False,2.8899694544094667
210,Isabella,101.96,6.67211,2.722,0.0954,False,2.7095850089691886
213,Lilaea,96.74,12.0395,2.7519,0.1471,False,2.721963801169266
216,Kleopatra,152.89,5.38533,2.7945,0.226,False,2.7221987447192393
217,Eudora,78.12,25.26163,2.8706,0.2829,False,2.7533342952934885
226,Weringia,39.17,11.14822,2.7128,0.1928,False,2.661902650095404
227,Philosophia,123.89,26.46077,3.1468,0.2184,False,3.0708341526263423
231,Vindobona,92.79,14.24496,2.9204,0.1696,False,2.878092116054657
232,Russia,59.14,21.90536,2.5527,0.2304,False,2.484022178591261
237,Coelestina,62.03,29.17559,2.7626,0.0809,False,2.7535448135063945
239,Adrastea,48.24,18.47136,2.97,0.1983,False,2.911019876194424
243,Ida,36.23,4.63364,2.8616,0.0457,False,2.8586102266641715
245,Vera,79.5,14.35772,3.0921,0.1712,False,3.0464491525001773
251,Sophia,31.91,20.22181,3.095,0.0962,False,3.080645466112419
252,Clementina,82.93,10.86208,3.1574,0.0505,False,3.153371350169261
254,Augusta,12.94,5.89502,2.1948,0.1179,False,2.1794923081107016
255,Oppavia,64.69,19.49831,2.7458,0.1294,False,2.7227146227332546
256,Walpurga,69.6,16.66045,3.0,0.0993,False,2.985172623149288
258,Tyche,71.13,10.04039,2.6156,0.1666,False,2.5790458485222243
260,Huberta,115.54,8.29053,3.4454,0.0861,False,3.43260550695778
267,Tirza,66.68,7.65285,2.7741,0.1114,False,2.7568330271297046
